Date,Action,Ticker,Shares,Price,Value,Slippage,Trigger,Module,Regime,PDS_Status,Beta
2024-03-28,SELL_CALL,ARM,,,35549.94,,Gain=81%,PERM,WATCH,NORMAL,
2024-03-28,SELL_CALL,ETN,,,41013.3,,Gain=31%,PERM,WATCH,NORMAL,
2024-03-28,SELL_CALL,VRT,,,52610.88,,Gain=79%,PERM,WATCH,NORMAL,
2024-04-03,BUY,TSLA,23727.2925,168.38,3995201.62,1997.6,Regime→RISK_ON,ARES,RISK_ON,NORMAL,
2024-04-03,BUY,BTC,119.809645,65980.81,7905137.71,3952.57,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,NORMAL,
2024-04-15,BUY,ANET,49253.7263,65.8,3240895.34,3240.9,Regime→WATCH,ARES,WATCH,NORMAL,
2024-04-26,SELL,ALAB,78063.5462,85.0,6635401.43,3317.7,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2024-04-26,BUY,ARM,56292.4455,101.95,5739014.65,2869.51,Regime→RISK_ON,ARES,RISK_ON,NORMAL,
2024-04-26,SELL,VRT,61879.6901,93.25,5770561.06,2885.28,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2024-04-29,CDF_RESET,TSLA,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,NORMAL,
2024-05-10,SELL_CALL,NVDA,,,83988.46,,Gain=87%,PERM,RISK_ON,NORMAL,
2024-05-10,SELL_CALL,MU,,,57980.17,,Gain=48%,PERM,RISK_ON,NORMAL,
2024-05-10,SELL_CALL,ANET,,,71838.64,,Gain=34%,PERM,RISK_ON,NORMAL,
2024-05-10,SELL_CALL,ARM,,,46353.04,,Gain=41%,PERM,RISK_ON,NORMAL,
2024-05-10,SELL_CALL,ETN,,,39826.05,,Gain=39%,PERM,RISK_ON,NORMAL,
2024-05-10,SELL_CALL,VRT,,,45238.29,,Gain=109%,PERM,RISK_ON,NORMAL,
2024-06-12,SELL,NVDA,140855.0728,125.14,17626555.37,8813.28,Regime→WATCH,MASTER_ENGINE,WATCH,NORMAL,
2024-06-12,BUY,AMD,34330.1856,160.24,5501069.13,2750.53,Regime→WATCH,ARES,WATCH,NORMAL,
2024-06-12,BUY,ALAB,115976.9424,64.57,7488631.14,3744.32,Regime→WATCH,ARES,WATCH,NORMAL,
2024-06-12,SELL,MU,29793.5811,139.77,4164237.13,2082.12,Regime→WATCH,MASTER_ENGINE,WATCH,NORMAL,
2024-06-12,SELL,ARM,63077.9597,155.59,9814299.52,4907.15,Regime→WATCH,MASTER_ENGINE,WATCH,NORMAL,
2024-06-12,BUY,BTC,69.881015,68241.19,4768763.47,2384.38,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,NORMAL,
2024-06-25,SELL_CALL,NVDA,,,95825.08,,Gain=162%,PERM,WATCH,NORMAL,
2024-06-25,SELL_CALL,PLTR,,,72734.16,,Gain=40%,PERM,WATCH,NORMAL,
2024-06-25,SELL_CALL,MU,,,65647.06,,Gain=72%,PERM,WATCH,NORMAL,
2024-06-25,SELL_CALL,ANET,,,53915.89,,Gain=42%,PERM,WATCH,NORMAL,
2024-06-25,SELL_CALL,AVGO,,,79639.53,,Gain=47%,PERM,WATCH,NORMAL,
2024-06-25,SELL_CALL,ARM,,,48313.07,,Gain=108%,PERM,WATCH,NORMAL,
2024-06-25,SELL_CALL,ETN,,,41564.82,,Gain=36%,PERM,WATCH,NORMAL,
2024-06-25,SELL_CALL,VRT,,,32646.23,,Gain=101%,PERM,WATCH,NORMAL,
2024-06-26,CDF_RESET,TSLA,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2024-07-08,CDF_RESET,AMD,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2024-07-09,SELL,TSLA,70198.4651,262.33,18415162.41,9207.58,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2024-07-09,BUY,ALAB,72173.6479,56.2,4056159.07,2028.08,Regime→RISK_ON,ARES,RISK_ON,NORMAL,
2024-07-09,SELL,ANET,80152.4654,91.44,7328941.06,3664.47,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2024-07-09,SELL,AVGO,27001.9215,170.4,4601144.97,2300.57,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2024-07-09,BUY,MRVL,61127.7676,73.4,4486663.98,2243.33,Regime→RISK_ON,ARES,RISK_ON,NORMAL,
2024-07-09,BUY,BTC,449.926856,58009.23,26099908.91,13049.95,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,NORMAL,
2024-08-02,SELL,ARM,38395.6907,113.45,4355990.99,6533.99,KILL_CHAIN beta=7.17,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,7.17
2024-08-02,SELL,NVDA,157397.4073,107.22,16875881.21,25313.82,KILL_CHAIN beta=5.61,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,5.61
2024-08-02,SELL,ALAB,132626.0512,42.38,5620692.19,8431.04,KILL_CHAIN beta=5.51,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,5.51
2024-08-02,SELL,TSLA,56311.9678,207.67,11694306.25,17541.46,KILL_CHAIN beta=5.48,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,5.48
2024-08-02,SELL,AVGO,94927.8968,141.39,13421717.67,20132.58,KILL_CHAIN beta=5.31,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,5.31
2024-08-02,SELL,MRVL,158633.6216,58.94,9350571.03,14025.86,KILL_CHAIN beta=4.69,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,4.69
2024-08-02,SELL,MU,38884.9036,92.13,3582652.97,5373.98,KILL_CHAIN beta=4.54,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,4.54
2024-08-02,SELL,AMD,69479.6921,132.5,9206059.2,13809.09,KILL_CHAIN beta=4.33,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,4.33
2024-08-02,SELL,ANET,147569.5414,79.83,11781214.2,17671.82,KILL_CHAIN beta=4.19,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,4.19
2024-08-02,SELL,PLTR,623554.2264,24.74,15426731.42,23140.1,KILL_CHAIN beta=3.74,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,3.74
2024-08-02,SELL,ETN,25526.821,274.14,6997914.52,10496.87,KILL_CHAIN beta=3.12,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,3.12
2024-08-02,SELL,BTC,2306.353539,61415.07,141644855.75,212467.28,EDR/PDS crypto kill-chain target=2.0% delev=0.17 micro=0.03 pds=DELEVERAGE_1,CRYPTO_KILL_CHAIN,WATCH,DELEVERAGE_1,
2024-08-07,SELL_CALL,NVDA,,,98348.27,,Gain=105%,PERM,WATCH,DELEVERAGE_1,
2024-08-07,SELL_CALL,PLTR,,,54606.17,,Gain=50%,PERM,WATCH,DELEVERAGE_1,
2024-08-07,SELL_CALL,ANET,,,71344.29,,Gain=35%,PERM,WATCH,DELEVERAGE_1,
2024-08-07,SELL_CALL,ARM,,,50140.29,,Gain=39%,PERM,WATCH,DELEVERAGE_1,
2024-08-07,SELL_CALL,VRT,,,65911.11,,Gain=47%,PERM,WATCH,DELEVERAGE_1,
2024-08-08,SELL,VRT,46403.859,70.9,3290051.73,4935.08,KILL_CHAIN beta=5.03,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,5.03
2024-08-13,BUY,TSLA,26587.6551,207.83,5525712.41,5525.71,PDS→WARNING,ARES,WATCH,WARNING,
2024-08-13,BUY,NVDA,38637.952,116.08,4485248.89,4485.25,PDS→WARNING,ARES,WATCH,WARNING,
2024-08-13,BUY,AVGO,22593.701,153.52,3468583.7,3468.58,PDS→WARNING,ARES,WATCH,WARNING,
2024-08-13,BUY,BTC,1987.741952,60609.57,120476177.84,120476.18,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,WARNING,
2024-08-15,BUY,TSLA,16132.2078,214.14,3454550.97,1727.28,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-15,BUY,AMD,37348.8158,147.36,5503721.52,2751.86,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-15,BUY,MU,44532.664,106.3,4733729.57,2366.86,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-15,BUY,ANET,60794.907,89.15,5419866.05,2709.93,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-15,BUY,MRVL,64226.6425,68.97,4429869.89,2214.93,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-15,BUY,ARM,27075.9414,130.44,3531785.86,1765.89,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-15,BUY,ETN,14965.0074,296.85,4442369.85,2221.18,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,CDF_RESET,AMD,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,WARNING,
2024-08-19,CDF_RESET,MRVL,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,WARNING,
2024-08-19,BUY,TSLA,33760.648,222.72,7519171.56,3759.59,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,BUY,NVDA,94420.8969,129.94,12268802.32,6134.4,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,BUY,AMD,34774.6329,155.28,5399804.96,2699.9,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,BUY,PLTR,263815.4176,32.5,8574001.07,4287.0,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,BUY,ALAB,149591.2333,41.09,6146703.8,3073.35,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,BUY,MU,59209.538,107.97,6392717.02,3196.36,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,BUY,ANET,81066.7972,88.01,7135094.11,3567.55,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,BUY,AVGO,66979.4592,164.87,11043217.89,5521.61,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,BUY,MRVL,87146.0395,70.67,6158928.26,3079.46,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,BUY,ARM,35696.5376,132.31,4723008.8,2361.5,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,BUY,ETN,18319.8379,291.54,5340980.22,2670.49,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-19,BUY,VRT,111514.6446,78.7,8776518.69,4388.26,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-08-27,CDF_RESET,AMD,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,WARNING,
2024-08-28,CDF_RESET,ALAB,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,WARNING,
2024-09-03,SELL,ALAB,125295.9657,39.11,4900325.3,4900.33,KILL_CHAIN beta=5.59,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,5.59
2024-09-03,SELL,ARM,73553.9924,123.74,9101570.86,9101.57,KILL_CHAIN beta=5.39,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,5.39
2024-09-03,SELL,TSLA,78943.8865,210.6,16625582.98,16625.58,KILL_CHAIN beta=4.37,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,4.37
2024-09-03,SELL,NVDA,137069.7166,107.95,14796396.27,14796.4,KILL_CHAIN beta=4.37,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,4.37
2024-09-03,SELL,VRT,127142.1283,75.03,9539612.44,9539.61,KILL_CHAIN beta=4.29,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,4.29
2024-09-03,SELL,AVGO,100799.9506,150.21,15140850.56,15140.85,KILL_CHAIN beta=4.18,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,4.18
2024-09-03,SELL,MRVL,201656.6481,69.66,14047178.22,14047.18,KILL_CHAIN beta=3.98,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,3.98
2024-09-03,SELL,MU,95934.8941,88.04,8446101.58,8446.1,KILL_CHAIN beta=3.70,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,3.7
2024-09-03,SELL,PLTR,409858.4759,30.51,12504782.19,12504.78,KILL_CHAIN beta=3.51,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,3.51
2024-09-03,SELL,AMD,77648.065,136.94,10633126.21,10633.13,KILL_CHAIN beta=3.38,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,3.38
2024-09-03,SELL,ANET,148765.731,81.68,12151184.96,12151.18,KILL_CHAIN beta=3.02,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,3.02
2024-09-03,SELL,ETN,35419.4452,284.36,10071752.92,10071.75,KILL_CHAIN beta=2.44,PDS_KILL_CHAIN,WATCH,DELEVERAGE_1,2.44
2024-09-03,SELL,BTC,1974.72692,57431.02,113410588.02,113410.59,EDR/PDS crypto kill-chain target=2.0% delev=0.21 micro=0.03 pds=DELEVERAGE_1,CRYPTO_KILL_CHAIN,WATCH,DELEVERAGE_1,
2024-09-04,CDF_RESET,TSLA,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,DELEVERAGE_1,
2024-09-05,CDF_RESET,ALAB,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,DELEVERAGE_1,
2024-09-10,CDF_RESET,TSLA,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,DELEVERAGE_1,
2024-09-11,CDF_RESET,ALAB,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,WARNING,
2024-09-11,BUY,TSLA,14533.4854,228.13,3315524.1,3315.52,PDS→WARNING,ARES,WATCH,WARNING,
2024-09-11,BUY,NVDA,36102.0241,116.85,4218653.66,4218.65,PDS→WARNING,ARES,WATCH,WARNING,
2024-09-11,BUY,MU,40392.4211,90.1,3639248.29,3639.25,PDS→WARNING,ARES,WATCH,WARNING,
2024-09-11,BUY,AVGO,28620.4076,155.59,4453171.84,4453.17,PDS→WARNING,ARES,WATCH,WARNING,
2024-09-11,BUY,BTC,2082.315255,57343.17,119406561.55,119406.56,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,WARNING,
2024-09-13,CDF_RESET,TSLA,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,WARNING,
2024-09-13,CDF_RESET,ALAB,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,WARNING,
2024-09-13,BUY,TSLA,17571.695,230.29,4046585.53,4046.59,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-13,BUY,NVDA,40102.7194,119.05,4774340.24,4774.34,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-13,BUY,AMD,34902.5553,152.31,5316008.12,5316.01,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-13,BUY,PLTR,121334.0893,35.59,4318280.26,4318.28,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-13,BUY,ALAB,90282.903,43.45,3922792.21,3922.79,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-13,BUY,ANET,61377.9125,89.94,5520329.6,5520.33,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-13,BUY,MRVL,83790.6202,74.1,6208541.54,6208.54,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-13,BUY,ETN,15568.5519,300.13,4672566.29,4672.57,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-13,BUY,VRT,41194.1641,85.57,3524876.81,3524.88,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,TSLA,36460.4625,226.78,8268503.64,8268.5,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,NVDA,91193.2459,116.73,10645325.34,10645.33,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,AMD,39300.113,152.08,5976761.26,5976.76,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,PLTR,149176.2428,36.31,5416589.58,5416.59,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,ALAB,95391.5865,43.86,4183875.04,4183.88,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,MU,116657.6773,86.65,10108209.02,10108.21,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,ANET,66609.0401,89.79,5980825.77,5980.83,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,AVGO,68306.9388,161.25,11014293.76,11014.29,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,MRVL,86433.1914,73.02,6311478.62,6311.48,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,ARM,59132.3237,138.4,8183913.24,8183.91,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,ETN,14345.5617,300.86,4316072.46,4316.07,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-16,BUY,VRT,47134.3001,86.79,4091002.79,4091.0,CDF/target update,MASTER_ENGINE,WATCH,WARNING,
2024-09-17,CDF_RESET,TSLA,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,WARNING,
2024-09-19,CDF_RESET,ALAB,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2024-09-19,CDF_RESET,MRVL,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2024-09-19,SELL_CALL,NVDA,,,124257.22,,Gain=32%,PERM,WATCH,NORMAL,
2024-09-19,SELL_CALL,PLTR,,,64604.39,,Gain=42%,PERM,WATCH,NORMAL,
2024-09-19,SELL_CALL,VRT,,,65444.79,,Gain=37%,PERM,WATCH,NORMAL,
2024-09-23,CDF_RESET,ALAB,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,NORMAL,
2024-09-23,SELL,BTC,93.910419,63329.8,5947328.12,2973.66,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,NORMAL,
2024-09-24,CDF_RESET,AMD,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,NORMAL,
2024-09-26,CDF_RESET,MU,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,NORMAL,
2024-10-01,SELL,TSLA,15161.5548,258.02,3911984.2,3911.98,Regime→WATCH,MASTER_ENGINE,WATCH,NORMAL,
2024-10-01,BUY,BTC,75.055795,60837.01,4566169.98,4566.17,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,NORMAL,
2024-10-03,CDF_RESET,AMD,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2024-10-04,CDF_RESET,TSLA,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2024-10-11,CDF_RESET,AMD,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2024-10-14,CDF_RESET,MRVL,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2024-10-24,CDF_RESET,TSLA,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2024-10-30,SELL,BTC,168.315304,72339.54,12175851.5,12175.85,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,NORMAL,
2024-10-31,SELL_CALL,NVDA,,,187114.73,,Gain=48%,PERM,WATCH,NORMAL,
2024-10-31,SELL_CALL,PLTR,,,127993.79,,Gain=60%,PERM,WATCH,NORMAL,
2024-10-31,SELL_CALL,ALAB,,,115454.08,,Gain=37%,PERM,WATCH,NORMAL,
2024-10-31,SELL_CALL,VRT,,,81539.62,,Gain=63%,PERM,WATCH,NORMAL,
2024-11-29,SELL,BTC,333.622869,97461.52,32515393.02,16257.7,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,NORMAL,
2024-12-13,SELL_CALL,TSLA,,,137208.45,,Gain=98%,PERM,WATCH,NORMAL,
2024-12-13,SELL_CALL,NVDA,,,98381.94,,Gain=50%,PERM,WATCH,NORMAL,
2024-12-13,SELL_CALL,PLTR,,,121526.48,,Gain=193%,PERM,WATCH,NORMAL,
2024-12-13,SELL_CALL,ALAB,,,110350.82,,Gain=158%,PERM,WATCH,NORMAL,
2024-12-13,SELL_CALL,ANET,,,78287.33,,Gain=46%,PERM,WATCH,NORMAL,
2024-12-13,SELL_CALL,AVGO,,,110738.33,,Gain=60%,PERM,WATCH,NORMAL,
2024-12-13,SELL_CALL,MRVL,,,105014.16,,Gain=79%,PERM,WATCH,NORMAL,
2024-12-13,SELL_CALL,ARM,,,44027.99,,Gain=37%,PERM,WATCH,NORMAL,
2024-12-13,SELL_CALL,VRT,,,57165.62,,Gain=87%,PERM,WATCH,NORMAL,
2024-12-16,SELL,TSLA,35465.2357,463.02,16421113.05,8210.56,CDF/target update,MASTER_ENGINE,WATCH,NORMAL,
2024-12-16,BUY,NVDA,137111.1916,131.96,18092748.14,9046.37,CDF/target update,MASTER_ENGINE,WATCH,NORMAL,
2024-12-16,BUY,AMD,86950.9345,126.69,11015814.11,5507.91,CDF/target update,MASTER_ENGINE,WATCH,NORMAL,
2024-12-16,SELL,PLTR,255546.1974,75.75,19357624.45,9678.81,CDF/target update,MASTER_ENGINE,WATCH,NORMAL,
2024-12-16,SELL,ALAB,267647.8798,130.48,34922694.22,17461.35,CDF/target update,MASTER_ENGINE,WATCH,NORMAL,
2024-12-16,BUY,MU,68409.4528,107.72,7369140.46,3684.57,CDF/target update,MASTER_ENGINE,WATCH,NORMAL,
2024-12-16,BUY,ANET,48380.6638,116.53,5637798.7,2818.9,CDF/target update,MASTER_ENGINE,WATCH,NORMAL,
2024-12-16,SELL,MRVL,57614.9183,124.24,7158034.69,3579.02,CDF/target update,MASTER_ENGINE,WATCH,NORMAL,
2024-12-16,BUY,ARM,68744.9386,145.0,9968016.09,4984.01,CDF/target update,MASTER_ENGINE,WATCH,NORMAL,
2024-12-16,BUY,ETN,20913.1261,349.54,7310059.17,3655.03,CDF/target update,MASTER_ENGINE,WATCH,NORMAL,
2024-12-24,SELL,NVDA,47437.8567,140.17,6649557.55,3324.78,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2024-12-24,SELL,PLTR,63170.0483,82.38,5203948.4,2601.97,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2024-12-24,BUY,MU,79842.0746,88.84,7092816.31,3546.41,Regime→RISK_ON,ARES,RISK_ON,NORMAL,
2024-12-24,BUY,BTC,129.91271,98676.09,12819278.75,6409.64,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,NORMAL,
2025-01-06,BUY,TSLA,15997.4797,411.05,6575763.84,6575.76,Regime→RISK_ON,ARES,RISK_ON,NORMAL,
2025-01-14,CDF_RESET,MU,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,NORMAL,
2025-01-14,CDF_RESET,ARM,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,NORMAL,
2025-01-21,CDF_RESET,ETN,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,NORMAL,
