Date,Action,Ticker,Shares,Price,Value,Slippage,Beta,Trigger,Module,Regime,PDS_Status
2022-02-11,SELL,VRT,267276.4283,21.05,5626671.77,8440.01,2.18,KILL_CHAIN beta=2.18,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-11,SELL,AVGO,197530.9181,53.01,10470305.11,15705.46,2.08,KILL_CHAIN beta=2.08,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-11,SELL,ANET,282880.3542,30.23,8551472.98,12827.21,1.75,KILL_CHAIN beta=1.75,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-11,SELL,ETN,46233.2989,140.76,6507748.82,9761.62,1.3,KILL_CHAIN beta=1.30,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-15,CDF_RESET,PLTR,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,WARNING
2022-02-16,BUY,TSLA,7407.8521,307.8,2280112.13,3420.17,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-16,BUY,AVGO,50862.394,55.21,2807859.13,4211.79,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-02-17,SELL,TSLA,9014.5385,292.12,2633296.95,6583.24,3.32,KILL_CHAIN beta=3.32,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-17,SELL,AVGO,56791.4575,53.52,3039575.67,7598.94,2.08,KILL_CHAIN beta=2.08,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-02-28,BUY,VRT,273539.304,12.97,3546637.46,8866.59,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-03-04,SELL,BTC,192.970715,39137.61,7552411.7,18881.03,,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,DELEVERAGE_1
2022-03-15,CDF_RESET,PLTR,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,DELEVERAGE_1
2022-03-17,CDF_RESET,VRT,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,DELEVERAGE_1
2022-03-22,BUY,AMD,20272.5265,114.78,2326880.57,3490.32,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-03-22,BUY,PLTR,178631.9627,13.27,2370446.23,3555.67,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-03-22,BUY,MU,51588.5472,77.35,3990630.28,5985.95,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-03-22,BUY,AVGO,42304.74,56.89,2406856.06,3610.28,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-03-23,CDF_RESET,VRT,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,WARNING
2022-03-23,BUY,TSLA,9934.9158,333.04,3308691.39,4963.04,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-23,BUY,NVDA,211087.7559,25.59,5401190.16,8101.79,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-23,BUY,MU,31199.6934,73.96,2307604.04,3461.41,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-23,BUY,ANET,86628.666,33.29,2883651.59,4325.48,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-23,BUY,AVGO,45475.8944,55.78,2536656.96,3804.99,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-23,BUY,MRVL,58653.6544,67.8,3976744.8,5965.12,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-23,BUY,ETN,20191.8499,143.19,2891278.12,4336.92,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-23,BUY,VRT,228170.2423,13.06,2978843.75,4468.27,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-24,BUY,TSLA,17416.3719,337.97,5886269.16,5886.27,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-24,BUY,NVDA,183301.669,28.1,5150563.7,5150.56,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-24,BUY,AMD,46861.8643,120.53,5648260.45,5648.26,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-24,BUY,PLTR,467951.2539,13.39,6265867.45,6265.87,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-24,BUY,MU,54786.2549,76.47,4189246.25,4189.25,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-24,BUY,ANET,112744.0319,34.92,3936739.68,3936.74,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-24,BUY,AVGO,89635.21,58.3,5225520.34,5225.52,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-24,BUY,MRVL,49449.0131,72.54,3587069.94,3587.07,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-24,BUY,ETN,23839.6999,143.91,3430859.33,3430.86,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-03-24,BUY,VRT,298702.171,12.73,3801502.27,3801.5,,CDF/target update,MASTER_ENGINE,RISK_ON,WARNING
2022-04-04,SELL,TSLA,7736.0681,381.82,2953759.83,2953.76,,PDS→NORMAL,MASTER_ENGINE,RISK_ON,NORMAL
2022-04-04,SELL,BTC,180.035409,46622.68,8393732.48,8393.73,,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,NORMAL
2022-04-05,BUY,NVDA,103530.4427,25.88,2679769.03,2679.77,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-04-05,BUY,AMD,22186.7992,106.82,2369993.88,2369.99,,PDS→WARNING,ARES,RISK_ON,WARNING
2022-04-06,SELL,VRT,565747.3077,13.6,7695897.68,11543.85,4.33,KILL_CHAIN beta=4.33,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-04-06,SELL,PLTR,644122.9461,13.0,8373598.3,12560.4,3.57,KILL_CHAIN beta=3.57,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-04-06,SELL,MRVL,105310.121,65.4,6887366.44,10331.05,3.14,KILL_CHAIN beta=3.14,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-04-06,SELL,AMD,80046.5109,103.67,8298421.64,12447.63,3.06,KILL_CHAIN beta=3.06,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-04-06,SELL,NVDA,520593.9425,24.36,12683044.0,19024.57,3.04,KILL_CHAIN beta=3.04,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-04-06,SELL,TSLA,28502.9528,348.59,9935749.42,14903.62,3.03,KILL_CHAIN beta=3.03,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-04-06,SELL,MU,107902.9398,72.13,7783480.0,11675.22,2.62,KILL_CHAIN beta=2.62,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-04-06,SELL,ANET,237014.2286,33.0,7822061.75,11733.09,1.91,KILL_CHAIN beta=1.91,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-04-06,SELL,AVGO,190282.4462,56.02,10660400.86,15990.6,1.75,KILL_CHAIN beta=1.75,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-04-06,SELL,ETN,42278.3174,136.08,5753200.61,8629.8,1.34,KILL_CHAIN beta=1.34,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_1
2022-04-19,CDF_RESET,VRT,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,DELEVERAGE_1
2022-04-26,SELL,VRT,301081.1859,11.49,3459994.44,8649.99,4.53,KILL_CHAIN beta=4.53,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-26,SELL,PLTR,435356.6661,11.12,4841166.08,12102.92,3.54,KILL_CHAIN beta=3.54,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-26,SELL,NVDA,332797.682,18.75,6241241.29,15603.1,3.12,KILL_CHAIN beta=3.12,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-26,SELL,MRVL,88540.6021,57.04,5050673.85,12626.68,2.99,KILL_CHAIN beta=2.99,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-26,SELL,AMD,51888.0596,85.16,4418787.35,11046.97,2.98,KILL_CHAIN beta=2.98,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-26,SELL,TSLA,20680.6553,292.14,6041646.94,15104.12,2.82,KILL_CHAIN beta=2.82,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-26,SELL,MU,84149.8378,65.67,5526387.42,13815.97,2.51,KILL_CHAIN beta=2.51,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-26,SELL,ANET,175633.2568,28.81,5059994.04,12649.99,2.07,KILL_CHAIN beta=2.07,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-26,SELL,AVGO,144698.2651,52.12,7541955.48,18854.89,1.61,KILL_CHAIN beta=1.61,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-26,SELL,ETN,35621.0926,135.06,4811152.09,12027.88,1.38,KILL_CHAIN beta=1.38,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-28,BUY,VRT,309658.5948,12.71,3934774.41,9836.94,4.58,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-04-28,BUY,PLTR,553269.1279,10.95,6058296.84,15145.74,3.49,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-04-28,BUY,NVDA,474027.5484,19.75,9360173.42,23400.43,3.03,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-04-28,BUY,MRVL,94133.8851,60.1,5657910.66,14144.78,2.87,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-04-28,BUY,AMD,63186.8018,89.64,5664064.87,14160.16,2.85,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-04-28,BUY,TSLA,26623.6382,292.5,7787502.72,19468.76,2.84,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-04-28,BUY,MU,82976.8363,68.71,5701187.04,14252.97,2.47,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-04-28,BUY,ANET,188035.2808,30.23,5683836.62,14209.59,2.03,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-04-28,BUY,AVGO,139971.9047,53.88,7541412.46,18853.53,1.58,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-04-28,BUY,ETN,30695.6701,138.92,4264125.81,10660.31,1.37,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-04-29,SELL,VRT,340712.8846,12.48,4251337.93,10628.34,4.47,KILL_CHAIN beta=4.47,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-29,SELL,PLTR,519934.3082,10.4,5407316.61,13518.29,3.38,KILL_CHAIN beta=3.38,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-29,SELL,NVDA,469991.335,18.51,8701087.87,21752.72,3.03,KILL_CHAIN beta=3.03,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-29,SELL,MRVL,94873.8423,57.17,5424083.61,13560.21,2.88,KILL_CHAIN beta=2.88,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-29,SELL,AMD,63816.1999,85.52,5457561.2,13643.9,2.79,KILL_CHAIN beta=2.79,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-29,SELL,TSLA,26586.6528,290.25,7716864.41,19292.16,2.76,KILL_CHAIN beta=2.76,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-29,SELL,MU,84854.6852,66.76,5664891.84,14162.23,2.44,KILL_CHAIN beta=2.44,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-29,SELL,ANET,189624.2072,28.89,5478717.39,13696.79,2.03,KILL_CHAIN beta=2.03,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-29,SELL,AVGO,139222.3624,51.59,7182946.93,17957.37,1.57,KILL_CHAIN beta=1.57,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-04-29,SELL,ETN,31123.6514,136.23,4239960.65,10599.9,1.34,KILL_CHAIN beta=1.34,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-05-04,CDF_RESET,AMD,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,DELEVERAGE_1
2022-05-04,BUY,VRT,311739.6317,13.23,4125751.13,6188.63,4.31,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-05-04,BUY,PLTR,514009.964,10.98,5643829.17,8465.74,3.25,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-05-04,BUY,NVDA,440558.8988,20.3,8942044.53,13413.07,2.98,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-05-04,BUY,AMD,50563.4286,99.42,5027015.98,7540.52,2.75,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-05-04,BUY,MRVL,88582.776,61.93,5485577.55,8228.37,2.74,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-05-04,BUY,TSLA,22305.7743,317.54,7082975.75,10624.46,2.66,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-05-04,BUY,MU,76391.2713,72.08,5505978.74,8258.97,2.38,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-05-04,BUY,ANET,198829.9801,29.45,5855045.88,8782.57,2.02,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-05-04,BUY,AVGO,126769.7022,56.18,7121741.05,10682.61,1.56,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-05-04,BUY,ETN,30101.0772,140.84,4239492.56,6359.24,1.25,PDS→DELEVERAGE_1,ARES,RISK_ON,DELEVERAGE_1
2022-05-04,BUY,BTC,92.000618,39698.37,3652274.67,5478.41,,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,DELEVERAGE_1
2022-05-05,SELL,VRT,317842.915,12.46,3959641.63,9899.1,4.17,KILL_CHAIN beta=4.17,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-05-05,SELL,PLTR,509777.7766,10.12,5158951.04,12897.38,3.16,KILL_CHAIN beta=3.16,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-05-05,SELL,NVDA,458594.6744,18.81,8626052.74,21565.13,2.9,KILL_CHAIN beta=2.90,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-05-05,SELL,AMD,57773.3031,93.87,5423180.12,13557.95,2.75,KILL_CHAIN beta=2.75,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-05-05,SELL,MRVL,90911.2144,57.38,5216328.13,13040.82,2.61,KILL_CHAIN beta=2.61,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-05-05,SELL,TSLA,22886.5248,291.09,6662114.55,16655.29,2.6,KILL_CHAIN beta=2.60,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-05-05,SELL,MU,81769.1877,69.79,5707071.57,14267.68,2.3,KILL_CHAIN beta=2.30,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-05-05,SELL,ANET,194622.4219,27.75,5399799.26,13499.5,1.97,KILL_CHAIN beta=1.97,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-05-05,SELL,AVGO,135952.6544,53.98,7338148.56,18345.37,1.53,KILL_CHAIN beta=1.53,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-05-05,SELL,ETN,31400.7086,139.39,4376814.91,10942.04,1.22,KILL_CHAIN beta=1.22,PDS_KILL_CHAIN,RISK_ON,DELEVERAGE_2
2022-05-11,BUY,BTC,514.375568,28936.36,14884154.29,37210.39,,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,DELEVERAGE_2
2022-06-10,TRIM,DBMF,,,182114.79,,,DSHP APPRECIATION: Appreciation Harvest: 26.35%,DSHP,RISK_ON,DELEVERAGE_2
2022-06-14,BUY,BTC,587.994781,22206.79,13057478.37,32643.7,,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,DELEVERAGE_2
2022-07-05,BUY,BTC,252.356166,20190.12,5095100.06,7642.65,,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,DELEVERAGE_2
2022-07-21,CDF_RESET,VRT,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,RISK_ON,DELEVERAGE_2
2022-08-03,SELL,BTC,212.338223,22846.51,4851186.86,4851.19,,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,DELEVERAGE_2
2022-09-01,BUY,BTC,230.139321,20127.14,4632046.48,6948.07,,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,DELEVERAGE_2
2022-09-06,BUY,BTC,176.51974,18837.67,3325220.26,4987.83,,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,DELEVERAGE_2
2022-09-15,CDF_RESET,PLTR,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,DELEVERAGE_2
2022-09-15,SELL,BTC,115.842267,19701.21,2282232.94,3423.35,,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,DELEVERAGE_2
2022-10-05,CDF_RESET,NVDA,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,DELEVERAGE_2
2022-10-28,CDF_RESET,NVDA,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,DELEVERAGE_2
2022-11-03,CDF_RESET,AMD,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,DELEVERAGE_2
2022-11-10,CDF_RESET,MRVL,,,0.0,,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,DELEVERAGE_2
2022-11-14,BUY,BTC,517.341344,16618.2,8597281.52,12895.92,,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,DELEVERAGE_2
2022-12-14,SELL,BTC,204.052289,17815.65,3635324.25,3635.32,,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,DELEVERAGE_2
